Nom_Fichier;spec1;spec2;spec3;spec4;Nombre_El
001;GOYV;;;;1
004;CYYY;;;;1
005;GBCB;;;;1
006;FYCC;;;;1
007;GBCL;;;;1
008;GRYB;;;;1
009;JCCC;;;;1
010;CYYY;;;;1
011;FYCY;;;;1
012;GOYL;;;;1
013;YCYC;;;;1
014;JYYC;;;;1
015;GLFL;;;;1
016;GLCO;;;;1
018;YYCC;;;;1
019;GRCV;;;;1
020;YYCC;;;;1
021;GVCR;;;;1
022;YCYC;;;;1
023;GBCO;;;;1
024;YYCC;;;;1
025;GVCR;;;;1
026;GLCV;;;;1
027;JYYY;;;;1
028;GRYO;;;;1
029;JYYC;;;;1
031;YCCC;;;;1
032;GOYR;;;;1
033;FCCC;;;;1
034;GVYB;;;;1
035;GOCV;;;;1
036;CYYY;;;;1
